user_id,name,flight_id,seat,meal
user_4167,Name_54,FL495,Aisle,Vegetarian
user_3693,Name_75,FL399,Middle,Vegetarian
user_4687,Name_84,FL259,Aisle,Non-Vegetarian
user_3793,Name_92,FL536,Aisle,Vegan
user_2665,Name_82,FL401,Window,Vegetarian
user_6205,Name_82,FL564,Window,Vegan
user_5448,Name_71,FL587,Aisle,Non-Vegetarian
user_4456,Name_87,FL401,Aisle,Vegetarian
user_5332,Name_71,FL387,Aisle,Vegan
user_5830,Name_81,FL592,Window,Vegan
user_4925,Name_77,FL641,Window,Vegan
user_4676,Name_78,FL491,Aisle,Vegan
user_5319,Name_73,FL570,Window,Vegan
user_4338,Name_77,FL699,Aisle,Vegan
user_4835,Name_76,FL504,Middle,Non-Vegetarian
user_4839,Name_74,FL603,Middle,Vegan
user_5043,Name_77,FL772,Aisle,Non-Vegetarian
user_4206,Name_73,FL655,Aisle,Vegetarian
user_6056,Name_67,FL528,Middle,Vegan
user_4628,Name_80,FL539,Aisle,Non-Vegetarian
user_4340,Name_64,FL525,Middle,Vegetarian
user_4826,Name_79,FL341,Window,Vegan
user_4030,Name_77,FL504,Middle,Non-Vegetarian
user_3809,Name_56,FL590,Aisle,Non-Vegetarian
user_5460,Name_89,FL453,Aisle,Vegetarian
user_6060,Name_80,FL388,Window,Non-Vegetarian
user_6002,Name_63,FL575,Window,Non-Vegetarian
user_3844,Name_72,FL358,Aisle,Non-Vegetarian
user_4861,Name_69,FL436,Window,Vegetarian
user_5009,Name_67,FL594,Middle,Non-Vegetarian
user_4344,Name_68,FL433,Aisle,Non-Vegetarian
user_3728,Name_66,FL653,Window,Vegan
user_3859,Name_69,FL450,Middle,Vegetarian
user_3783,Name_68,FL640,Aisle,Vegan
user_6103,Name_87,FL328,Middle,Non-Vegetarian
user_3265,Name_75,FL457,Middle,Vegetarian
user_5696,Name_71,FL514,Aisle,Vegetarian
user_4583,Name_84,FL371,Aisle,Vegetarian
user_7403,Name_72,FL475,Aisle,Vegan
user_4403,Name_56,FL606,Middle,Vegetarian
user_5171,Name_81,FL654,Aisle,Vegetarian
user_7290,Name_76,FL589,Aisle,Vegetarian
user_3906,Name_84,FL393,Middle,Non-Vegetarian
user_6209,Name_69,FL498,Aisle,Non-Vegetarian
user_5125,Name_80,FL483,Aisle,Vegetarian
user_3695,Name_70,FL529,Window,Vegan
user_3373,Name_79,FL606,Middle,Vegan
user_4645,Name_71,FL448,Window,Non-Vegetarian
user_6394,Name_85,FL508,Middle,Vegetarian
user_3376,Name_72,FL623,Window,Vegan
user_5129,Name_74,FL573,Middle,Vegan
user_3884,Name_59,FL482,Middle,Non-Vegetarian
user_4207,Name_70,FL461,Middle,Non-Vegetarian
user_5630,Name_70,FL378,Window,Vegetarian
user_4042,Name_87,FL412,Middle,Vegan
user_4577,Name_58,FL420,Window,Non-Vegetarian
user_6190,Name_83,FL593,Middle,Non-Vegetarian
user_3403,Name_68,FL471,Aisle,Vegan
user_5264,Name_75,FL442,Middle,Non-Vegetarian
user_5225,Name_75,FL519,Window,Non-Vegetarian
user_4738,Name_82,FL608,Window,Vegan
user_4361,Name_70,FL526,Middle,Vegetarian
user_4020,Name_86,FL372,Middle,Vegetarian
user_4939,Name_70,FL592,Window,Vegetarian
user_6608,Name_80,FL509,Aisle,Vegetarian
user_4427,Name_83,FL314,Window,Non-Vegetarian
user_4348,Name_72,FL595,Middle,Vegan
user_3354,Name_71,FL511,Window,Vegan
user_3875,Name_70,FL513,Window,Vegan
user_3986,Name_78,FL443,Middle,Non-Vegetarian
user_6687,Name_81,FL593,Window,Non-Vegetarian
user_3986,Name_78,FL497,Middle,Non-Vegetarian
user_5005,Name_77,FL536,Aisle,Vegetarian
user_6425,Name_80,FL621,Aisle,Vegan
user_4212,Name_73,FL427,Aisle,Vegan
user_3410,Name_78,FL296,Aisle,Vegetarian
user_3908,Name_76,FL585,Middle,Vegan
user_4455,Name_68,FL662,Middle,Vegan
user_4937,Name_71,FL697,Middle,Vegan
user_3991,Name_57,FL394,Middle,Vegan
user_4904,Name_79,FL471,Middle,Non-Vegetarian
user_5238,Name_78,FL630,Aisle,Non-Vegetarian
user_3757,Name_77,FL352,Aisle,Vegetarian
user_3259,Name_74,FL496,Window,Vegetarian
user_5702,Name_55,FL593,Aisle,Non-Vegetarian
user_5962,Name_65,FL439,Window,Vegetarian
user_5327,Name_58,FL634,Aisle,Vegetarian
user_5436,Name_72,FL535,Middle,Vegetarian
user_4750,Name_67,FL513,Middle,Vegetarian
user_4445,Name_78,FL527,Aisle,Non-Vegetarian
user_6198,Name_65,FL395,Aisle,Vegan
user_4557,Name_73,FL556,Aisle,Vegetarian
user_5458,Name_71,FL536,Window,Vegan
user_4558,Name_84,FL484,Window,Non-Vegetarian
user_4228,Name_86,FL428,Aisle,Vegetarian
user_4897,Name_72,FL522,Middle,Vegetarian
user_6394,Name_69,FL642,Middle,Non-Vegetarian
user_3749,Name_78,FL437,Aisle,Vegan
user_6251,Name_79,FL603,Middle,Vegetarian
user_3992,Name_69,FL527,Window,Vegan
user_4224,Name_71,FL369,Middle,Non-Vegetarian
user_4849,Name_83,FL529,Window,Vegetarian
user_3297,Name_74,FL490,Middle,Vegetarian
user_5864,Name_75,FL604,Middle,Non-Vegetarian
user_4882,Name_79,FL384,Middle,Vegan
user_3476,Name_71,FL632,Window,Vegetarian
user_2639,Name_70,FL545,Middle,Vegan
user_5971,Name_68,FL534,Middle,Vegan
user_4507,Name_63,FL640,Middle,Vegan
user_4833,Name_72,FL380,Middle,Vegetarian
user_3812,Name_80,FL446,Window,Non-Vegetarian
user_5739,Name_71,FL463,Middle,Vegetarian
user_5045,Name_89,FL480,Window,Vegan
user_6627,Name_88,FL699,Aisle,Non-Vegetarian
user_6390,Name_73,FL482,Window,Vegan
user_6496,Name_75,FL421,Aisle,Non-Vegetarian
user_6986,Name_64,FL664,Window,Vegan
user_4389,Name_71,FL618,Middle,Vegetarian
user_3310,Name_75,FL542,Window,Non-Vegetarian
user_5230,Name_87,FL437,Middle,Vegan
user_5499,Name_65,FL451,Middle,Vegetarian
user_6189,Name_69,FL596,Middle,Vegan
user_3257,Name_95,FL554,Aisle,Non-Vegetarian
user_3323,Name_60,FL605,Middle,Vegetarian
user_3623,Name_85,FL384,Window,Non-Vegetarian
user_5213,Name_68,FL532,Window,Non-Vegetarian
user_4925,Name_73,FL309,Aisle,Vegan
user_4596,Name_88,FL468,Middle,Non-Vegetarian
user_5744,Name_69,FL626,Aisle,Vegetarian
user_5239,Name_75,FL634,Window,Vegetarian
user_5007,Name_71,FL584,Window,Vegan
user_5657,Name_77,FL560,Aisle,Vegan
user_3830,Name_85,FL567,Aisle,Vegetarian
user_5352,Name_86,FL607,Middle,Vegetarian
user_5519,Name_75,FL545,Middle,Non-Vegetarian
user_5274,Name_88,FL701,Window,Non-Vegetarian
user_5576,Name_68,FL539,Middle,Vegan
user_3799,Name_71,FL576,Window,Vegetarian
user_5107,Name_81,FL561,Aisle,Non-Vegetarian
user_4021,Name_72,FL457,Window,Vegan
user_4194,Name_78,FL588,Aisle,Vegetarian
user_3392,Name_88,FL424,Window,Non-Vegetarian
user_5167,Name_83,FL383,Middle,Non-Vegetarian
user_7939,Name_72,FL633,Aisle,Vegetarian
user_5253,Name_76,FL450,Window,Vegan
user_4897,Name_77,FL338,Window,Vegan
user_4009,Name_72,FL549,Aisle,Vegetarian
user_6517,Name_80,FL441,Aisle,Vegetarian
user_6553,Name_94,FL333,Window,Non-Vegetarian
user_4167,Name_78,FL526,Middle,Non-Vegetarian
user_5607,Name_66,FL634,Aisle,Vegan
user_6204,Name_69,FL600,Aisle,Vegan
user_4703,Name_64,FL625,Aisle,Non-Vegetarian
user_3268,Name_85,FL505,Middle,Vegetarian
user_4093,Name_74,FL749,Middle,Non-Vegetarian
user_4524,Name_74,FL418,Middle,Non-Vegetarian
user_5181,Name_70,FL488,Aisle,Non-Vegetarian
user_5065,Name_78,FL422,Aisle,Non-Vegetarian
user_6095,Name_80,FL634,Window,Non-Vegetarian
user_4870,Name_70,FL570,Aisle,Non-Vegetarian
user_4824,Name_82,FL306,Middle,Non-Vegetarian
user_3487,Name_64,FL332,Middle,Vegetarian
user_5154,Name_78,FL537,Window,Vegetarian
user_3997,Name_77,FL427,Middle,Non-Vegetarian
user_5057,Name_74,FL654,Window,Vegetarian
user_4286,Name_83,FL535,Middle,Vegan
user_2438,Name_78,FL584,Window,Vegetarian
user_5686,Name_63,FL554,Aisle,Vegetarian
user_4791,Name_74,FL514,Aisle,Vegetarian
user_7192,Name_85,FL687,Window,Vegetarian
user_3677,Name_77,FL541,Window,Vegetarian
user_4519,Name_62,FL578,Window,Vegetarian
user_5487,Name_70,FL288,Middle,Non-Vegetarian
user_3478,Name_65,FL478,Middle,Non-Vegetarian
user_5193,Name_62,FL614,Middle,Non-Vegetarian
user_4989,Name_71,FL572,Window,Vegan
user_6261,Name_71,FL410,Aisle,Vegan
user_3856,Name_75,FL407,Middle,Vegetarian
user_5511,Name_68,FL513,Middle,Vegan
user_4293,Name_80,FL501,Middle,Non-Vegetarian
user_4124,Name_62,FL451,Middle,Non-Vegetarian
user_6905,Name_77,FL739,Aisle,Vegan
user_6567,Name_70,FL709,Aisle,Vegan
user_5941,Name_59,FL610,Window,Non-Vegetarian
user_3341,Name_79,FL465,Middle,Vegan
user_4730,Name_81,FL530,Window,Vegetarian
user_5627,Name_72,FL486,Aisle,Non-Vegetarian
user_4741,Name_78,FL413,Window,Vegetarian
user_4062,Name_78,FL508,Window,Vegetarian
user_5798,Name_68,FL355,Middle,Non-Vegetarian
user_4868,Name_68,FL512,Aisle,Vegetarian
user_5092,Name_60,FL518,Window,Vegan
user_5061,Name_59,FL542,Window,Vegetarian
user_6972,Name_82,FL623,Window,Vegan
user_6264,Name_73,FL433,Window,Non-Vegetarian
user_3054,Name_87,FL472,Window,Vegetarian
user_3305,Name_70,FL640,Middle,Vegan
user_3977,Name_85,FL550,Aisle,Vegan
user_5164,Name_76,FL430,Middle,Vegan
user_4967,Name_76,FL543,Aisle,Non-Vegetarian
user_3747,Name_77,FL425,Window,Non-Vegetarian
user_4706,Name_82,FL393,Middle,Vegan
user_3926,Name_60,FL495,Window,Vegetarian
user_5465,Name_66,FL629,Window,Non-Vegetarian
user_4054,Name_83,FL516,Aisle,Non-Vegetarian
user_4795,Name_71,FL680,Middle,Vegan
user_5633,Name_80,FL624,Aisle,Non-Vegetarian
user_3272,Name_78,FL507,Middle,Non-Vegetarian
user_4151,Name_89,FL417,Middle,Non-Vegetarian
user_4548,Name_79,FL336,Window,Vegan
user_5110,Name_74,FL547,Aisle,Vegetarian
user_5059,Name_76,FL465,Aisle,Vegetarian
user_4470,Name_66,FL594,Window,Vegan
user_6474,Name_65,FL642,Middle,Vegan
user_4731,Name_60,FL455,Window,Non-Vegetarian
user_6291,Name_67,FL586,Middle,Non-Vegetarian
user_6301,Name_77,FL470,Aisle,Non-Vegetarian
user_3625,Name_57,FL542,Aisle,Vegetarian
user_3336,Name_61,FL439,Aisle,Non-Vegetarian
user_6088,Name_70,FL558,Window,Vegan
user_7154,Name_71,FL644,Window,Vegan
user_4787,Name_78,FL456,Aisle,Non-Vegetarian
user_5001,Name_85,FL366,Middle,Non-Vegetarian
user_5854,Name_62,FL613,Aisle,Vegetarian
user_3701,Name_83,FL685,Aisle,Vegan
user_5972,Name_73,FL544,Middle,Vegetarian
user_6142,Name_74,FL606,Aisle,Vegetarian
user_3177,Name_64,FL477,Middle,Vegan
user_4928,Name_81,FL546,Window,Vegan
user_6569,Name_78,FL637,Aisle,Vegetarian
user_4941,Name_77,FL393,Aisle,Vegetarian
user_5860,Name_84,FL649,Window,Vegetarian
user_4987,Name_55,FL571,Aisle,Vegan
user_5322,Name_60,FL671,Aisle,Vegan
user_4818,Name_79,FL376,Window,Vegetarian
user_5071,Name_71,FL477,Window,Non-Vegetarian
user_5901,Name_70,FL573,Middle,Non-Vegetarian
user_7011,Name_81,FL479,Window,Vegetarian
user_6819,Name_63,FL662,Middle,Non-Vegetarian
user_4233,Name_63,FL432,Middle,Vegetarian
user_3774,Name_80,FL749,Window,Vegan
user_4349,Name_75,FL571,Window,Non-Vegetarian
user_4751,Name_63,FL573,Middle,Vegan
user_3825,Name_54,FL627,Middle,Non-Vegetarian
user_5465,Name_73,FL605,Aisle,Vegan
user_5457,Name_78,FL640,Window,Vegetarian
user_4408,Name_71,FL448,Aisle,Vegetarian
user_5175,Name_65,FL515,Middle,Non-Vegetarian
user_5016,Name_69,FL561,Aisle,Non-Vegetarian
user_6410,Name_61,FL477,Aisle,Vegetarian
user_5269,Name_59,FL503,Aisle,Vegetarian
user_5240,Name_80,FL586,Window,Vegetarian
user_6226,Name_72,FL539,Middle,Vegetarian
user_4136,Name_63,FL561,Window,Non-Vegetarian
user_5060,Name_76,FL513,Aisle,Vegetarian
user_4057,Name_71,FL574,Middle,Vegan
user_4857,Name_74,FL742,Window,Vegetarian
user_7406,Name_68,FL601,Window,Vegetarian
user_4941,Name_74,FL573,Aisle,Vegan
user_4637,Name_84,FL514,Middle,Vegetarian
user_4932,Name_75,FL715,Window,Vegan
user_6441,Name_72,FL375,Aisle,Vegan
user_4277,Name_87,FL588,Middle,Vegetarian
user_4466,Name_61,FL552,Aisle,Vegetarian
user_4243,Name_86,FL541,Aisle,Vegan
user_5732,Name_64,FL407,Aisle,Vegetarian
user_4164,Name_74,FL596,Window,Non-Vegetarian
user_3107,Name_75,FL410,Window,Vegetarian
user_4361,Name_76,FL523,Aisle,Vegetarian
user_5411,Name_63,FL522,Window,Non-Vegetarian
user_7808,Name_78,FL462,Aisle,Vegan
user_4442,Name_79,FL413,Aisle,Vegan
user_5515,Name_69,FL522,Middle,Non-Vegetarian
user_4825,Name_82,FL704,Aisle,Vegan
user_3633,Name_75,FL579,Window,Vegetarian
user_3681,Name_69,FL559,Middle,Non-Vegetarian
user_4164,Name_69,FL377,Window,Vegan
user_6341,Name_87,FL394,Aisle,Non-Vegetarian
user_5306,Name_57,FL602,Middle,Vegan
user_3963,Name_62,FL516,Aisle,Vegetarian
user_4578,Name_67,FL592,Aisle,Vegetarian
user_3982,Name_76,FL546,Aisle,Non-Vegetarian
user_3610,Name_83,FL498,Middle,Non-Vegetarian
user_4041,Name_84,FL435,Middle,Non-Vegetarian
user_4116,Name_73,FL626,Window,Vegan
user_5007,Name_81,FL739,Window,Non-Vegetarian
user_3356,Name_80,FL512,Aisle,Vegan
user_4774,Name_78,FL576,Middle,Vegan
user_5061,Name_85,FL575,Window,Vegetarian
user_4615,Name_77,FL338,Aisle,Non-Vegetarian
user_4652,Name_76,FL571,Middle,Vegetarian
user_4456,Name_71,FL510,Window,Vegan
user_6633,Name_71,FL674,Middle,Vegetarian
user_5134,Name_78,FL630,Aisle,Vegan
user_3560,Name_82,FL595,Aisle,Non-Vegetarian
user_5664,Name_71,FL716,Aisle,Vegan
user_4242,Name_81,FL532,Window,Vegan
user_4311,Name_85,FL453,Aisle,Vegetarian
user_5029,Name_82,FL410,Middle,Vegan
user_4788,Name_79,FL622,Window,Vegan
user_5806,Name_80,FL596,Middle,Vegan
user_4527,Name_75,FL624,Window,Non-Vegetarian
user_6343,Name_66,FL715,Aisle,Vegan
user_5205,Name_70,FL522,Window,Vegetarian
user_4716,Name_76,FL467,Window,Vegetarian
user_3405,Name_76,FL627,Middle,Vegan
user_4587,Name_54,FL458,Window,Vegan
user_3800,Name_84,FL510,Aisle,Non-Vegetarian
user_3576,Name_90,FL804,Window,Non-Vegetarian
user_6177,Name_73,FL521,Aisle,Non-Vegetarian
user_6025,Name_79,FL559,Aisle,Vegan
user_3853,Name_48,FL477,Middle,Non-Vegetarian
user_4187,Name_74,FL599,Window,Non-Vegetarian
user_4442,Name_60,FL617,Aisle,Non-Vegetarian
user_5748,Name_65,FL693,Aisle,Non-Vegetarian
user_4067,Name_70,FL393,Middle,Non-Vegetarian
user_3944,Name_90,FL619,Middle,Non-Vegetarian
user_5054,Name_77,FL532,Middle,Vegetarian
user_4330,Name_75,FL532,Aisle,Vegetarian
user_4689,Name_75,FL654,Aisle,Vegan
user_5922,Name_87,FL545,Middle,Non-Vegetarian
user_5678,Name_41,FL606,Window,Vegan
user_4421,Name_69,FL441,Middle,Vegan
user_4896,Name_64,FL632,Aisle,Vegetarian
user_5378,Name_89,FL589,Window,Vegan
user_4659,Name_74,FL478,Aisle,Non-Vegetarian
user_5752,Name_80,FL535,Aisle,Vegetarian
user_6164,Name_76,FL591,Window,Vegetarian
user_5298,Name_79,FL622,Aisle,Vegetarian
user_6519,Name_61,FL534,Aisle,Vegetarian
user_5544,Name_63,FL510,Window,Vegan
user_6430,Name_82,FL427,Window,Vegan
user_5101,Name_84,FL518,Middle,Vegetarian
user_4647,Name_75,FL632,Middle,Vegan
user_4306,Name_59,FL644,Aisle,Vegetarian
user_6662,Name_77,FL487,Middle,Vegetarian
user_3076,Name_68,FL596,Aisle,Vegetarian
user_2988,Name_80,FL610,Aisle,Vegan
user_5418,Name_67,FL544,Window,Non-Vegetarian
user_3751,Name_60,FL584,Window,Vegan
user_2315,Name_79,FL505,Aisle,Vegetarian
user_6030,Name_67,FL525,Middle,Vegetarian
user_5979,Name_73,FL654,Window,Vegetarian
user_4536,Name_64,FL720,Window,Vegetarian
user_5997,Name_80,FL608,Window,Vegetarian
user_5386,Name_74,FL315,Window,Non-Vegetarian
user_6429,Name_77,FL363,Window,Non-Vegetarian
user_4789,Name_77,FL649,Middle,Non-Vegetarian
user_6081,Name_80,FL564,Aisle,Vegetarian
user_6176,Name_93,FL532,Window,Vegetarian
user_6222,Name_74,FL393,Middle,Vegetarian
user_4767,Name_64,FL549,Window,Non-Vegetarian
user_5062,Name_76,FL491,Aisle,Vegetarian
user_5339,Name_84,FL502,Window,Vegetarian
user_4071,Name_67,FL455,Window,Non-Vegetarian
user_5843,Name_72,FL604,Window,Vegan
user_6395,Name_75,FL587,Middle,Vegetarian
user_3690,Name_79,FL486,Middle,Non-Vegetarian
user_5156,Name_64,FL617,Middle,Non-Vegetarian
user_4935,Name_70,FL644,Middle,Non-Vegetarian
user_5538,Name_71,FL631,Window,Vegan
user_4135,Name_74,FL587,Window,Vegetarian
user_5183,Name_85,FL419,Aisle,Vegetarian
user_5863,Name_80,FL562,Aisle,Vegetarian
user_5060,Name_81,FL342,Window,Vegetarian
user_5772,Name_79,FL546,Middle,Non-Vegetarian
user_7316,Name_91,FL334,Window,Non-Vegetarian
user_5415,Name_84,FL648,Middle,Vegan
user_4007,Name_70,FL551,Aisle,Vegetarian
user_5347,Name_84,FL559,Aisle,Non-Vegetarian
user_5462,Name_69,FL684,Window,Non-Vegetarian
user_5378,Name_82,FL422,Aisle,Vegan
user_3587,Name_70,FL529,Aisle,Vegetarian
user_4662,Name_67,FL642,Window,Non-Vegetarian
user_4436,Name_71,FL274,Middle,Vegan
user_5535,Name_69,FL483,Window,Non-Vegetarian
user_5434,Name_65,FL596,Aisle,Vegan
user_6170,Name_90,FL527,Middle,Vegan
user_4552,Name_71,FL493,Window,Vegan
user_4816,Name_83,FL550,Middle,Vegan
user_5555,Name_76,FL651,Middle,Vegetarian
user_5276,Name_81,FL452,Aisle,Vegan
user_4726,Name_65,FL347,Aisle,Vegetarian
user_4315,Name_86,FL586,Aisle,Vegan
user_6764,Name_78,FL602,Middle,Vegetarian
user_5934,Name_75,FL540,Middle,Non-Vegetarian
user_3485,Name_81,FL494,Aisle,Non-Vegetarian
user_5677,Name_72,FL515,Middle,Vegetarian
user_6170,Name_59,FL627,Middle,Vegetarian
user_6062,Name_73,FL521,Aisle,Vegetarian
user_3392,Name_75,FL612,Window,Non-Vegetarian
user_3927,Name_80,FL419,Window,Non-Vegetarian
user_4176,Name_63,FL365,Aisle,Non-Vegetarian
user_4811,Name_82,FL553,Window,Non-Vegetarian
user_4594,Name_78,FL406,Aisle,Non-Vegetarian
user_5227,Name_65,FL602,Window,Vegetarian
user_4500,Name_82,FL719,Window,Vegan
user_3011,Name_84,FL425,Middle,Vegan
user_5842,Name_82,FL497,Window,Non-Vegetarian
user_5464,Name_79,FL396,Middle,Non-Vegetarian
user_4546,Name_85,FL396,Aisle,Vegetarian
user_4382,Name_72,FL519,Aisle,Vegetarian
user_6388,Name_75,FL538,Aisle,Non-Vegetarian
user_5673,Name_66,FL642,Aisle,Vegan
user_3765,Name_57,FL453,Aisle,Vegetarian
user_3182,Name_76,FL331,Aisle,Vegetarian
user_4543,Name_86,FL351,Window,Vegetarian
user_3004,Name_59,FL494,Aisle,Vegetarian
user_4840,Name_74,FL693,Aisle,Non-Vegetarian
user_4908,Name_76,FL538,Middle,Non-Vegetarian
user_5229,Name_79,FL520,Middle,Vegetarian
user_5532,Name_76,FL629,Aisle,Non-Vegetarian
user_7259,Name_83,FL541,Aisle,Non-Vegetarian
user_4907,Name_72,FL450,Window,Non-Vegetarian
user_3264,Name_68,FL397,Middle,Non-Vegetarian
user_6120,Name_65,FL598,Aisle,Vegan
user_6294,Name_66,FL624,Aisle,Vegan
user_5573,Name_56,FL564,Middle,Vegetarian
user_6347,Name_83,FL669,Aisle,Non-Vegetarian
user_4746,Name_81,FL746,Middle,Non-Vegetarian
user_4890,Name_65,FL441,Aisle,Non-Vegetarian
user_5004,Name_83,FL562,Window,Vegan
user_3256,Name_69,FL476,Middle,Non-Vegetarian
user_3663,Name_65,FL642,Middle,Non-Vegetarian
user_6608,Name_75,FL486,Aisle,Vegan
user_3950,Name_55,FL532,Middle,Non-Vegetarian
user_5266,Name_64,FL446,Aisle,Vegetarian
user_4863,Name_78,FL417,Aisle,Vegan
user_3214,Name_82,FL539,Middle,Vegetarian
user_3732,Name_78,FL537,Middle,Non-Vegetarian
user_3714,Name_73,FL640,Middle,Non-Vegetarian
user_4196,Name_70,FL609,Aisle,Vegan
user_3497,Name_62,FL404,Aisle,Vegetarian
user_3869,Name_63,FL517,Aisle,Non-Vegetarian
user_5585,Name_76,FL383,Aisle,Non-Vegetarian
user_5616,Name_82,FL492,Middle,Non-Vegetarian
user_5363,Name_84,FL407,Aisle,Non-Vegetarian
user_4224,Name_73,FL547,Middle,Vegan
user_4877,Name_84,FL527,Middle,Vegan
user_4100,Name_75,FL531,Middle,Vegetarian
user_6717,Name_79,FL597,Window,Vegetarian
user_6595,Name_67,FL518,Middle,Vegan
user_5800,Name_64,FL592,Aisle,Non-Vegetarian
user_6552,Name_47,FL624,Window,Vegan
user_5911,Name_82,FL435,Aisle,Vegan
user_4243,Name_57,FL538,Middle,Non-Vegetarian
user_4037,Name_74,FL568,Middle,Vegetarian
user_3803,Name_83,FL539,Aisle,Vegan
user_7093,Name_73,FL348,Window,Non-Vegetarian
user_5732,Name_88,FL388,Aisle,Vegetarian
user_5875,Name_77,FL438,Window,Vegetarian
user_4099,Name_81,FL396,Middle,Vegan
user_5980,Name_83,FL516,Aisle,Vegan
user_4613,Name_78,FL526,Middle,Vegetarian
user_3752,Name_74,FL623,Middle,Vegetarian
user_6280,Name_72,FL628,Window,Non-Vegetarian
user_5388,Name_79,FL631,Middle,Vegan
user_6346,Name_78,FL469,Aisle,Non-Vegetarian
user_3414,Name_65,FL354,Middle,Non-Vegetarian
user_3812,Name_68,FL383,Aisle,Vegan
user_4345,Name_56,FL466,Aisle,Non-Vegetarian
user_4835,Name_80,FL515,Middle,Non-Vegetarian
user_4691,Name_67,FL480,Aisle,Vegan
user_4311,Name_76,FL558,Middle,Vegetarian
user_4936,Name_86,FL633,Window,Vegan
user_5236,Name_74,FL671,Aisle,Non-Vegetarian
user_5277,Name_58,FL581,Aisle,Vegetarian
user_3845,Name_74,FL481,Aisle,Non-Vegetarian
user_5867,Name_62,FL599,Window,Vegetarian
user_3160,Name_68,FL508,Aisle,Non-Vegetarian
user_4358,Name_59,FL626,Middle,Vegetarian
user_5081,Name_58,FL544,Window,Non-Vegetarian
user_4708,Name_73,FL445,Aisle,Vegetarian
user_5378,Name_76,FL526,Middle,Non-Vegetarian
user_4856,Name_69,FL432,Aisle,Vegan
user_5610,Name_73,FL465,Middle,Non-Vegetarian
user_4276,Name_90,FL361,Aisle,Vegan
user_5334,Name_75,FL604,Window,Vegetarian
user_4141,Name_66,FL475,Aisle,Non-Vegetarian
user_6848,Name_72,FL579,Middle,Vegan
user_3718,Name_71,FL469,Aisle,Non-Vegetarian
user_5726,Name_79,FL622,Middle,Vegetarian
user_4450,Name_76,FL375,Window,Non-Vegetarian
user_4121,Name_89,FL396,Window,Vegan
user_3359,Name_52,FL552,Aisle,Vegetarian
user_4727,Name_68,FL635,Aisle,Non-Vegetarian
user_5952,Name_82,FL465,Aisle,Vegan
user_5870,Name_76,FL539,Window,Vegetarian
user_2850,Name_78,FL451,Middle,Non-Vegetarian
user_6812,Name_81,FL505,Aisle,Vegetarian
user_5867,Name_77,FL516,Middle,Non-Vegetarian
user_4618,Name_71,FL609,Window,Vegan
user_4308,Name_75,FL607,Aisle,Vegan
user_5750,Name_84,FL422,Middle,Vegan
user_5291,Name_77,FL554,Aisle,Non-Vegetarian
user_4370,Name_69,FL465,Middle,Non-Vegetarian
user_5261,Name_74,FL469,Window,Vegetarian
user_7436,Name_68,FL621,Window,Vegan
user_4686,Name_66,FL556,Middle,Vegan
user_3976,Name_78,FL496,Middle,Vegan
user_4219,Name_82,FL584,Middle,Non-Vegetarian
user_5788,Name_80,FL569,Middle,Vegetarian
